"Ticker","Nazwa emitenta","Data autoryzacji","Data pierwszego notowania","Data wykupu","Rodzaj oprocentowania obligacji","Oprocentowanie w bieżącym okresie odsetkowym (%)","Strona www emitenta","Wartosc nominalna","Wartosc emisji","Odsetki skumulowane","Waluta"
"PKO0328","PKO BP","2018-03-29","2018-03-29","2028-03-06","zmienne","8.5","www.pkobp.pl","500 000,00","1 000 000 000,00","5 821,92","PLN"
"PKO0827","PKO BP","2017-09-27","2017-09-27","2027-08-28","zmienne","8.55","www.pkobp.pl","100 000,00","1 700 000 000,00","1 311,78","PLN"
"PLY1226","P4 SP. Z O.O.","2020-02-28","2020-02-28","2026-12-11","zmienne","9.08","www.play.pl/p4","500 000,00","750 000 000,00","16 543,01","PLN"
"PLY1227","P4 SP. Z O.O.","2021-03-16","2021-03-16","2027-12-29","zmienne","9.01","www.play.pl/p4","1 000,00","500 000 000,00","28,88","PLN"
"POZ0325","COMPREMUM","2021-10-13","2021-10-13","2025-03-30","stałe","5.5","www.compremum.pl","1 000,00","18 000 000,00","3,92","PLN"
"PRF0125","PRAGMAGO","2023-02-21","2023-02-21","2025-01-27","zmienne","12.91","www.pragmago.pl","100,00","20 000 000,00",NA,"PLN"
"PRF0525","PRAGMAGO","2021-05-31","2021-05-31","2025-05-12","zmienne","10.81","www.pragmago.pl","100,00","16 000 000,00","2,16","PLN"
"PRF0624","PRAGMAGO","2021-01-25","2021-01-25","2024-06-18","stałe","5.6","www.pragmago.pl","100,00","7 000 000,00","0,60","PLN"
"PRF0626","PRAGMAGO","2022-07-20","2022-07-20","2026-06-13","zmienne","10.94","www.pragmago.pl","100,00","10 000 000,00","1,32","PLN"
"PRF0723","PRAGMAGO","2019-08-12","2019-08-12","2023-07-04","zmienne","11.15","www.pragmago.pl","100,00","10 000 000,00","0,67","PLN"
"PRF1025","PRAGMAGO","2021-10-20","2021-10-20","2025-10-01","zmienne","10.7","www.pragmago.pl","100,00","17 000 000,00","0,73","PLN"
"PRF1026","PRAGMAGO","2022-11-08","2022-11-08","2026-10-28","zmienne","10.93","www.pragmago.pl","100,00","12 779 200,00",NA,"PLN"
"PRF1124","PRAGMAGO","2020-12-16","2020-12-16","2024-11-10","stałe","5.75","www.pragmago.pl","100,00","12 000 000,00","1,18","PLN"
"PRF1225","PRAGMAGO","2022-01-21","2022-01-21","2025-12-23","zmienne","10.92","www.pragmago.pl","100,00","16 000 000,00","1,02","PLN"
"PZU0727","PZU","2017-08-01","2017-08-01","2027-07-29","zmienne","8.79","www.pzu.pl","100 000,00","2 250 000 000,00","2 071,07","PLN"
"ROB0626","ROBYG","2021-06-25","2021-06-25","2026-06-17","zmienne","9.62","www.robyg.com.pl","1 000,00","150 000 000,00","34,00","PLN"
"ROB0723","ROBYG","2018-08-28","2018-08-28","2023-07-05","zmienne","9.99","www.robyg.com.pl","1 000,00","60 000 000,00","30,11","PLN"
"ROB1224","ROBYG","2020-04-09","2020-04-09","2024-12-04","zmienne","10.41","www.robyg.com.pl","100 000,00","100 000 000,00","4 049,92","PLN"
"ROB1225","ROBYG","2022-12-30","2022-12-30","2025-12-22","zmienne","12.04","www.robyg.com.pl","1 000,00","110 000 000,00","40,90","PLN"
"RON0424","RONSON","2020-10-08","2020-10-08","2024-04-02","zmienne","11.25","www.ronson.pl","1 000,00","100 000 000,00","7,09","PLN"
"RON0425","RONSON","2021-04-23","2021-04-23","2025-04-15","zmienne","10.95","www.ronson.pl","1 000,00","100 000 000,00","3,00","PLN"
"RPO0626","R.POWER S.A.","2021-09-20","2021-09-20","2026-06-02","zmienne","12.44","www.rpower.solar","1 000,00","305 000 000,00","49,08","PLN"
"SPL0325","SANTANDER BANK POLSKA","2023-04-18","2023-04-18","2025-03-31","zmienne","8.85","www.santander.pl","500 000,00","1 900 000 000,00","3 152,05","PLN"
"SPL0428","SANTANDER BANK POLSKA","2018-05-11","2018-05-11","2028-04-05","zmienne","8.55","www.santander.pl","500 000,00","1 000 000 000,00","2 342,47","PLN"
"TDJ0624","INVEST TDJ ESTATE","2022-05-23","2022-05-23","2024-06-03","zmienne","10.96","www.tdj.pl","1 000,00","115 000 000,00","42,94","PLN"
"TPE1025","TAURON POLSKA ENERGIA","2021-01-19","2021-01-19","2025-10-30","zmienne","9","www.tauron.pl","1 000,00","1 000 000 000,00",NA,"PLN"
"UNI0324","UNIBEP SA","2021-05-17","2021-05-17","2024-03-31","zmienne","10.45","www.unibep.pl","100,00","50 000 000,00","0,72","PLN"
"UNI1124","UNIBEP SA","2021-12-29","2021-12-29","2024-11-24","zmienne","11.12","www.unibep.pl","100,00","50 057 000,00","4,63","PLN"
"VI10825","VICTORIA DOM SPÓŁKA AKCYJNA","2022-09-07","2022-09-07","2025-08-30","zmienne","12.24","www.victoriadom.pl","1 000,00","5 272 000,00","18,78","PLN"
"VIC0125","VICTORIA DOM SPÓŁKA AKCYJNA","2021-10-20","2021-10-20","2025-01-11","zmienne","12.95","www.victoriadom.pl","1 000,00","70 000 000,00","4,97","PLN"
"VID0326","VICTORIA DOM SPÓŁKA AKCYJNA","2023-04-04","2023-04-04","2026-03-21","zmienne","13.98","www.victoriadom.pl","1 000,00","50 184 000,00","13,41","PLN"
"VID0523","VICTORIA DOM SPÓŁKA AKCYJNA","2020-07-22","2020-07-22","2023-05-26","stałe","7.5","www.victoriadom.pl","1 000,00","5 259 000,00","30,82","PLN"
"VID0624","VICTORIA DOM SPÓŁKA AKCYJNA","2021-06-30","2021-06-30","2024-06-23","zmienne","13.19","www.victoriadom.pl","1 000,00","49 432 000,00","44,45","PLN"
"VID0723","VICTORIA DOM SPÓŁKA AKCYJNA","2020-11-12","2020-11-12","2023-07-21","stałe","7.15","www.victoriadom.pl","1 000,00","8 497 000,00","18,41","PLN"
"VID1023","VICTORIA DOM SPÓŁKA AKCYJNA","2020-11-12","2020-11-12","2023-10-28","zmienne","14.15","www.victoriadom.pl","1 000,00","32 932 000,00",NA,"PLN"
"VOX0625","VOXEL","2021-06-30","2021-06-30","2025-06-24","zmienne","10.29","www.voxel.pl","1 000,00","50 000 000,00","34,68","PLN"
"WBE1023","WB ELECTRONICS","2020-12-30","2020-12-30","2023-10-27","zmienne","9.49","www.wb.com.pl","1 000,00","60 000 000,00",NA,"PLN"
"WSD0225","WHITE STONE DEVELOPMENT","2021-11-10","2021-11-10","2025-02-20","zmienne","12.38","www.white-stone.pl","1 000,00","22 000 000,00","21,71","PLN"
"WSD0724","WHITE STONE DEVELOPMENT","2021-11-10","2021-11-10","2024-07-01","zmienne","12.1","www.white-stone.pl","1 000,00","11 250 000,00","7,96","PLN"
"WSD0823","WHITE STONE DEVELOPMENT","2021-01-26","2021-01-26","2023-08-21","stałe","6","www.white-stone.pl","1 000,00","25 000 000,00","10,36","PLN"
"WSD1123","WHITE STONE DEVELOPMENT","2021-05-10","2021-05-10","2023-11-10","stałe","6.6","www.white-stone.pl","750,00","8 250 000,00","10,04","PLN"
"ECH1024","ECHO INVESTMENT","2020-11-02","2020-11-02","2024-10-23","stałe","4.5","www.echo.com.pl","1 000,00","40 000 000,00","0,25","EUR"
"MLP0124","MLP GROUP","2022-07-28","2022-07-28","2024-01-22","zmienne","6.292","www.mlp.pl","1 000,00","6 000 000,00","0,59","EUR"
"MLP0225","MLP GROUP","2020-02-26","2020-02-26","2025-02-19","zmienne","6.116","www.mlp.pl","1 000,00","45 000 000,00","10,89","EUR"
"MLP0523","MLP GROUP","2018-08-13","2018-08-13","2023-05-11","zmienne","5.066","www.mlp.pl","1 000,00","10 000 000,00","22,90","EUR"
"MLP0524","MLP GROUP","2021-11-24","2021-11-24","2024-05-17","zmienne","4.637","www.mlp.pl","1 000,00","20 000 000,00","20,20","EUR"
"OR10623","ORLEN CAPITAL AB (PUBL)","2016-07-20","2016-07-20","2023-06-07","stałe","2.5","","100 000,00","750 000 000,00","2 205,48","EUR"
"PKN0528","PKN ORLEN","2021-06-28","2021-06-28","2028-05-27","stałe","1.125","www.orlen.pl","100 000,00","500 000 000,00","1 026,37","EUR"
"PKO0226","PKO BP","2023-04-21","2023-04-21","2026-02-01","stałe","5.625","www.pkobp.pl","100 000,00","750 000 000,00","1 279,11","EUR"
