"Ticker","Nazwa emitenta","Waluta","Rynek","Wartosc nominalna","Data poprzedniej wypłaty","Dni od poprzedniej wypłaty","Data nastepnej wypłaty","Dni do następnej wypłaty","Rodzaj oprocentowania obligacji","WIBOR","Oprocentowanie","Oprocentowanie w bieżącym okresie odsetkowym (%)","Odsetki skumulowane","Liczba transakcji wrzesień 2023","Liczba dni z transakcjami wrzesień 2023","Obroty [tys.] wrzesień 2023","Data autoryzacji","Data pierwszego notowania","Data wykupu","Wartosc emisji","Zabezpieczenie","Strona www emitenta"
"GHI0725","GHELAMCO INVEST","PLN","GPW ASO","1 000,00",2023-07-16,126,2024-01-16,58,"zmienne","WIBOR 6M","5%","11.79","21,00",13,8,160.26,"2021-07-23","2021-07-23","2025-07-16","30 000 000,00","TAK","www.ghelamco.com"
"GHI0925","GHELAMCO INVEST","PLN","GPW ASO","1 000,00",2023-09-29,51,2024-03-29,131,"zmienne","WIBOR 6M","5%","11.95","56,97",56,13,457.35,"2022-01-11","2022-01-11","2025-09-29","170 000 000,00","TAK","www.ghelamco.com"
"GHI1224","GHELAMCO INVEST","PLN","GPW ASO","1 000,00",2023-06-16,156,2023-12-16,27,"zmienne","WIBOR 6M","5%","11.95","31,10",96,18,3714.27,"2021-03-15","2021-03-15","2024-12-16","400 000 000,00","TAK","www.ghelamco.com"
"GHL0124","GHELAMCO INVEST","PLN","GPW RR","100,00",2023-07-15,127,2024-01-15,57,"zmienne","WIBOR 6M","5%","11.8","2,13",16,12,49.96,"2020-08-12","2020-08-12","2024-01-15","19 672 600,00","TAK","www.ghelamco.com"
"GHS0124","GHELAMCO INVEST","PLN","GPW RR","100,00",2023-07-15,127,2024-01-15,57,"stałe","","5.5%","5.5","0,99",48,13,849.42,"2020-10-06","2020-10-06","2024-01-15","55 000 000,00","TAK","www.ghelamco.com"
"GTC1123","GTC","PLN","BS ASO","333,34",2023-11-04,15,NA,NA,"zmienne","WIBOR 6M","4.15%","11.1","13,99",0,0,0,"2019-11-12","2019-11-12","2023-11-04","146 667 400,00","NIE","www.gtcgroup.com"
"HBR1223","HB REAVIS FINANCE PL 3","PLN","GPW ASO","1 000,00",2023-06-08,164,2023-12-08,19,"zmienne","WIBOR 6M","5.75%","12.7","35,84",4,3,20.81,"2020-12-15","2020-12-15","2023-12-08","85 000 000,00","TAK","https://hbreavis.com/bond/hbrfinancepl3/"
"I2D0324","I2 DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-09-16,64,2023-12-16,27,"stałe","","5.07%","5.07","0,42",22,12,497.39,"2022-03-03","2022-03-03","2024-03-16","17 939 000,00","TAK","www.i2development.pl"
"I2M0324","I2 DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-09-16,64,2023-12-16,27,"stałe","","5.07%","5.07","0,42",16,10,150.17,"2022-03-03","2022-03-03","2024-03-16","9 608 000,00","TAK","www.i2development.pl"
"INF0326","INFINITY","PLN","GPW ASO","1 000,00",2023-09-16,64,2023-12-16,27,"zmienne","WIBOR 3M","5.6%","12.5","0,94",6,3,47.16,"2023-07-21","2023-07-21","2026-03-16","12 000 000,00","TAK","www.profbud.info"
"INY0225","INFINITY","PLN","GPW ASO","800,00",2023-11-10,9,2024-02-10,83,"zmienne","WIBOR 3M","4.8%","11.51","10,09",15,8,174.55,"2022-04-27","2022-04-27","2025-02-10","18 400 000,00","TAK","www.profbud.info"
"INY0725","INFINITY","PLN","GPW ASO","800,00",2023-10-12,38,2024-01-12,54,"zmienne","WIBOR 3M","4.8%","11.7","17,69",0,0,0,"2022-11-14","2022-11-14","2025-07-12","9 600 000,00","TAK","www.profbud.info"
"INY0924","INFINITY","PLN","GPW ASO","700,00",2023-09-03,77,2023-12-03,14,"zmienne","WIBOR 3M","5.25%","11.91","3,65",10,5,50.72,"2022-01-13","2022-01-13","2024-09-03","7 700 000,00","TAK","www.profbud.info"
"INP1025","INPRO SA","PLN","GPW ASO","1 000,00",2023-10-07,43,2024-04-07,140,"zmienne","WIBOR 6M","2.75%","9.7","43,85",0,0,0,"2021-10-14","2021-10-14","2025-10-07","35 000 000,00","TAK","www.inpro.com.pl"
"INS0126","INDOS","PLN","GPW ASO","100,00",2023-10-04,46,2024-01-04,46,"zmienne","WIBOR 3M","5%","11.9","2,51",0,0,0,"2022-10-24","2022-10-24","2026-01-04","15 000 000,00","TAK","www.indos.pl"
"INS0127","INDOS","PLN","GPW ASO","1 000,00",2023-10-19,31,2024-01-19,61,"zmienne","WIBOR 3M","5.8%","12.64","21,47",1,1,14.51,"2023-08-29","2023-08-29","2027-01-19","15 000 000,00","TAK","www.indos.pl"
"INS0526","INDOS","PLN","GPW ASO","1 000,00",2023-08-23,88,2023-11-23,4,"zmienne","WIBOR 3M","5.5%","12.18","9,01",1,1,5.11,"2023-02-17","2023-02-17","2026-05-23","5 500 000,00","TAK","www.indos.pl"
"IPT0627","INPOST SOCIÉTÉ ANONYME W LUKSE","PLN","GPW ASO","500 000,00",2023-07-08,134,2024-01-08,50,"zmienne","WIBOR 6M","2.5%","9.42","9 420,00",0,0,0,"2021-07-16","2021-07-16","2027-06-29","500 000 000,00","TAK",""
"JHM1225","JHM DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-06-17,155,2023-12-17,28,"zmienne","WIBOR 6M","4.9%","11.85","30,52",0,0,0,"2021-12-28","2021-12-28","2025-12-17","50 000 000,00","TAK","www.jhmdevelopment.pl"
"KGH0624","KGHM POLSKA MIEDŹ SA","PLN","GPW ASO, BS ASO","1 000,00",2023-06-27,145,2023-12-27,38,"zmienne","WIBOR 6M","1.18%","8.13","18,71",0,0,0,"2019-10-03","2019-10-03","2024-06-27","400 000 000,00","NIE","www.kghm.com"
"KGH0624","KGHM POLSKA MIEDŹ SA","PLN","GPW ASO, BS ASO","1 000,00",2023-06-27,145,2023-12-27,38,"zmienne","WIBOR 6M","1.18%","8.13","18,71",38,10,763.73,"2019-10-03","2019-10-03","2024-06-27","400 000 000,00","NIE","www.kghm.com"
"KGH0629","KGHM POLSKA MIEDŹ SA","PLN","GPW ASO, BS ASO","1 000,00",2023-06-27,145,2023-12-27,38,"zmienne","WIBOR 6M","1.65%","8.6","19,79",0,0,0,"2019-10-03","2019-10-03","2029-06-27","1 600 000 000,00","NIE","www.kghm.com"
"KGH0629","KGHM POLSKA MIEDŹ SA","PLN","GPW ASO, BS ASO","1 000,00",2023-06-27,145,2023-12-27,38,"zmienne","WIBOR 6M","1.65%","8.6","19,79",94,19,8182.83,"2019-10-03","2019-10-03","2029-06-27","1 600 000 000,00","NIE","www.kghm.com"
"KIN1025","KREDYT INKASO","PLN","GPW RR","100,00",2023-09-30,50,2023-12-31,42,"zmienne","WIBOR 3M","4.9%","11.8","2,62",21,10,190.78,"2022-04-29","2022-04-29","2025-10-23","17 009 700,00","NIE","www.kredytinkaso.pl"
"KRI0329","KREDYT INKASO","PLN","GPW ASO","1 000,00",2023-09-28,52,2024-03-28,130,"zmienne","WIBOR 6M","4.9%","11.85","56,82",47,11,579.97,"2022-09-13","2022-09-13","2029-03-28","103 000 000,00","TAK","www.kredytinkaso.pl"
"KRI0427","KREDYT INKASO","PLN","GPW RR","1 000,00",2023-10-14,36,2024-01-14,56,"zmienne","WIBOR 3M","5.5%","12.39","22,74",46,15,586.1,"2023-04-18","2023-04-18","2027-04-14","15 000 000,00","NIE","www.kredytinkaso.pl"
"KRI0726","KREDYT INKASO","PLN","GPW RR","100,00",2023-10-27,23,2024-01-27,69,"zmienne","WIBOR 3M","4.7%","11.44","1,69",17,10,62.62,"2022-08-16","2022-08-16","2026-07-27","15 679 300,00","NIE","www.kredytinkaso.pl"
"KRI0727","KREDYT INKASO","PLN","GPW RR","1 000,00",2023-10-13,37,2024-01-13,55,"zmienne","WIBOR 3M","5.5%","12.4","23,10",64,17,627.33,"2023-07-19","2023-07-19","2027-07-13","18 000 000,00","NIE","www.kredytinkaso.pl"
"KRI1025","KREDYT INKASO","PLN","GPW RR","100,00",2023-10-19,31,2024-01-19,61,"stałe","","6%","6","1,02",3,3,11.63,"2021-11-24","2021-11-24","2025-10-19","3 666 900,00","NIE","www.kredytinkaso.pl"
"KR10228","KRUK","PLN","GPW RR","100,00",2023-08-20,91,2023-11-20,1,"zmienne","WIBOR 3M","4%","10.68","0,91",70,19,360.87,"2023-03-13","2023-03-13","2028-02-20","50 000 000,00","NIE","www.kruksa.pl"
"KR10627","KRUK","PLN","GPW RR","100,00",2023-09-02,78,2023-12-02,13,"zmienne","WIBOR 3M","3.3%","9.96","0,49",54,14,375.87,"2022-06-23","2022-06-23","2027-06-02","50 000 000,00","NIE","www.kruksa.pl"
"KRU0129","KRUK","PLN","GPW ASO","1 000,00",2023-10-04,46,2024-01-04,46,"zmienne","WIBOR 3M","4.5%","11.4","24,05",0,0,0,"2023-01-30","2023-01-30","2029-01-04","120 000 000,00","NIE","www.kruksa.pl"
"KRU0224","KRUK","PLN","GPW RR","100,00",2023-11-06,13,2024-02-06,79,"zmienne","WIBOR 3M","3.5%","10.24","1,26",46,14,426.48,"2019-03-12","2019-03-12","2024-02-06","25 000 000,00","NIE","www.kruksa.pl"
"KRU0226","KRUK","PLN","GPW RR","100,00",2023-11-18,1,2024-02-18,91,"stałe","","4.2%","4.2","0,38",20,11,101.8,"2021-03-11","2021-03-11","2026-02-18","20 000 000,00","NIE","www.kruksa.pl"
"KRU0227","KRUK","PLN","GPW RR","100,00",2023-11-08,11,2024-02-08,81,"zmienne","WIBOR 3M","3.3%","10.04","1,18",40,15,315.23,"2022-03-01","2022-03-01","2027-02-08","50 000 000,00","NIE","www.kruksa.pl"
"KRU0228","KRUK","PLN","GPW ASO","1 000,00",2023-11-02,17,2024-02-02,75,"zmienne","WIBOR 3M","3.2%","9.92","13,05",2,1,10.05,"2022-03-28","2022-03-28","2028-02-02","350 000 000,00","NIE","www.kruksa.pl"
"KRU0325","KRUK","PLN","GPW ASO","1 000,00",2023-09-27,53,2023-12-27,38,"zmienne","WIBOR 3M","4%","10.9","25,08",16,10,159.47,"2019-05-27","2019-05-27","2025-03-27","115 000 000,00","NIE","www.kruksa.pl"
"KRU0625","KRUK","PLN","GPW ASO","1 000,00",2023-09-28,52,2023-12-28,39,"zmienne","WIBOR 3M","4%","10.9","24,79",11,7,67.64,"2019-09-17","2019-09-17","2025-06-28","50 000 000,00","NIE","www.kruksa.pl"
"KRU0626","KRUK","PLN","GPW ASO","100,00",2023-09-10,70,2023-12-10,21,"stałe","","4%","4","0,11",39,14,185.38,"2021-07-02","2021-07-02","2026-06-10","70 000 000,00","NIE","www.kruksa.pl"
"KRU0627","KRUK","PLN","GPW ASO","1 000,00",2023-09-28,52,2023-12-28,39,"zmienne","WIBOR 3M","3.7%","10.6","24,10",32,12,278.73,"2021-08-26","2021-08-26","2027-06-28","330 000 000,00","NIE","www.kruksa.pl"
"KRU0628","KRUK","PLN","GPW RR","100,00",2023-09-13,67,2023-12-13,24,"zmienne","WIBOR 3M","4%","10.07","0,19",100,19,1022.36,"2023-07-05","2023-07-05","2028-06-13","50 000 000,00","NIE","www.kruksa.pl"
"KRU0726","KRUK","PLN","GPW RR","100,00",2023-10-09,41,2024-01-09,51,"stałe","","4%","4","0,80",25,10,373.94,"2021-07-27","2021-07-27","2026-07-09","65 000 000,00","NIE","www.kruksa.pl"
"KRU0827","KRUK","PLN","GPW RR","100,00",2023-11-12,7,2024-02-12,85,"zmienne","WIBOR 3M","3.3%","10","1,07",71,16,1075.68,"2022-08-26","2022-08-26","2027-08-12","60 000 000,00","NIE","www.kruksa.pl"
"KRU0828","KRUK","PLN","GPW RR","100,00",2023-11-08,11,2024-02-08,81,"zmienne","WIBOR 3M","4%","10.74","1,27",359,21,7831.79,"2023-08-30","2023-08-30","2028-08-08","75 000 000,00","NIE","www.kruksa.pl"
"KRU0924","KRUK","PLN","GPW RR","100,00",2023-09-02,78,2023-12-02,13,"zmienne","WIBOR 3M","3.5%","10.17","0,50",34,16,176.79,"2019-09-20","2019-09-20","2024-09-02","25 000 000,00","NIE","www.kruksa.pl"
"KRU0925","KRUK","PLN","GPW RR","100,00",2023-09-25,55,2023-12-25,36,"stałe","","4.8%","4.8",NA,44,13,750.47,"2020-10-09","2020-10-09","2025-09-25","25 000 000,00","NIE","www.kruksa.pl"
"KRU1023","KRUK","PLN","GPW ASO","1 000,00",2023-10-12,38,NA,NA,"zmienne","WIBOR 3M","3.5%","10.4","19,66",0,0,0,"2019-03-05","2019-03-05","2023-10-12","35 000 000,00","NIE","www.kruksa.pl"
"KRU1123","KRUK","PLN","GPW RR","100,00",2023-08-27,84,2023-11-27,8,"zmienne","WIBOR 3M","3.5%","10.15","0,67",25,13,271.8,"2018-12-28","2018-12-28","2023-11-27","30 000 000,00","NIE","www.kruksa.pl"
"KRU1127","KRUK","PLN","GPW RR","100,00",2023-08-28,83,2023-11-28,9,"zmienne","WIBOR 3M","4%","10.7","0,67",58,19,459.12,"2022-12-16","2022-12-16","2027-11-28","35 000 000,00","NIE","www.kruksa.pl"
"KRU1226","KRUK","PLN","GPW RR","100,00",2023-09-16,64,2023-12-16,27,"zmienne","WIBOR 3M","3.4%","10.3","0,10",74,17,467.42,"2022-01-14","2022-01-14","2026-12-16","50 000 000,00","NIE","www.kruksa.pl"
"LKD0425","LOKUM DEWELOPER","PLN","GPW ASO","1 000,00",2023-10-19,31,2024-04-19,152,"zmienne","WIBOR 6M","4.2%","11.15","46,74",0,0,0,"2021-11-17","2021-11-17","2025-04-19","50 000 000,00","NIE","www.lokum-deweloper.pl"
"LKD0924","LOKUM DEWELOPER","PLN","GPW ASO","1 000,00",2023-09-05,75,2024-03-05,107,"zmienne","WIBOR 6M","4.5%","11.02","4,23",66,17,561.96,"2021-04-06","2021-04-06","2024-09-05","100 000 000,00","NIE","www.lokum-deweloper.pl"
"LPP1224","LPP","PLN","GPW ASO","1 000,00",2023-06-12,160,2023-12-12,23,"zmienne","WIBOR 6M","1.1%","8.05","21,83",0,0,0,"2019-12-18","2019-12-18","2024-12-12","300 000 000,00","NIE","www.lppsa.com"
"MBK0125","MBANK","PLN","GPW ASO, BS ASO","100 000,00",2023-07-17,125,2024-01-17,59,"zmienne","WIBOR 6M","2.1%","8.9","1 560,55",0,0,0,"2015-07-14","2015-07-14","2025-01-17","750 000 000,00","NIE","www.mbank.pl"
"MBK0125","MBANK","PLN","GPW ASO, BS ASO","100 000,00",2023-07-17,125,2024-01-17,59,"zmienne","WIBOR 6M","2.1%","8.9","1 560,55",14,10,2849.57,"2015-07-14","2015-07-14","2025-01-17","750 000 000,00","NIE","www.mbank.pl"
"MBK1028","MBANK","PLN","GPW ASO, BS ASO","500 000,00",2023-10-10,40,2024-04-10,143,"zmienne","WIBOR 6M","1.8%","8.75","19 417,81",0,0,0,"2019-02-28","2019-02-28","2028-10-10","550 000 000,00","NIE","www.mbank.pl"
"MBK1028","MBANK","PLN","GPW ASO, BS ASO","500 000,00",2023-10-10,40,2024-04-10,143,"zmienne","WIBOR 6M","1.8%","8.75","19 417,81",1,1,488.1,"2019-02-28","2019-02-28","2028-10-10","550 000 000,00","NIE","www.mbank.pl"
"MBK1030","MBANK","PLN","GPW ASO, BS ASO","500 000,00",2023-10-10,40,2024-04-10,143,"zmienne","WIBOR 6M","1.95%","8.9","19 750,68",0,0,0,"2019-02-28","2019-02-28","2030-10-10","200 000 000,00","NIE","www.mbank.pl"
"MBK1030","MBANK","PLN","GPW ASO, BS ASO","500 000,00",2023-10-10,40,2024-04-10,143,"zmienne","WIBOR 6M","1.95%","8.9","19 750,68",0,0,0,"2019-02-28","2019-02-28","2030-10-10","200 000 000,00","NIE","www.mbank.pl"
"MCI0227","MCI CAPITAL ASI","PLN","GPW ASO","100,00",2023-11-17,2,2024-02-19,92,"zmienne","WIBOR 3M","3.5%","10.19","0,89",177,21,965.67,"2022-03-08","2022-03-08","2027-02-18","80 636 700,00","TAK","www.mci.pl"
"MCI1126","MCI CAPITAL ASI","PLN","GPW RR","100,00",2023-11-15,4,2024-02-15,88,"zmienne","WIBOR 3M","3.5%","10.2","0,98",18,9,85.43,"2021-12-13","2021-12-13","2026-11-15","15 059 100,00","TAK","www.mci.pl"
"MCM0724","MCI MANAGEMENT SP. Z O.O","PLN","GPW ASO","1 000,00",2023-07-28,114,2024-01-28,70,"zmienne","WIBOR 6M","4.2%","10.86","15,77",0,0,0,"2021-12-30","2021-12-30","2024-07-28","20 000 000,00","TAK","www.mcimanagement.pl"
"MCM1223","MCI MANAGEMENT SP. Z O.O","PLN","GPW ASO, BS ASO","1 000,00",2023-06-14,158,2023-12-14,25,"stałe","","4.5%","4.5","11,96",0,0,0,"2021-03-18","2021-03-18","2023-12-14","21 734 000,00","TAK","www.mcimanagement.pl"
"MCM1223","MCI MANAGEMENT SP. Z O.O","PLN","GPW ASO, BS ASO","1 000,00",2023-06-14,158,2023-12-14,25,"stałe","","4.5%","4.5","11,96",12,6,74.49,"2021-03-18","2021-03-18","2023-12-14","21 734 000,00","TAK","www.mcimanagement.pl"
"MIL0129","BANK MILLENNIUM","PLN","GPW ASO, BS ASO","500 000,00",2023-07-31,111,2024-01-31,73,"zmienne","WIBOR 6M","2.3%","8.94","6 123,29",0,0,0,"2019-04-02","2019-04-02","2029-01-30","830 000 000,00","NIE","www.bankmillennium.pl"
"MIL0129","BANK MILLENNIUM","PLN","GPW ASO, BS ASO","500 000,00",2023-07-31,111,2024-01-31,73,"zmienne","WIBOR 6M","2.3%","8.94","6 123,29",2,2,845.85,"2019-04-02","2019-04-02","2029-01-30","830 000 000,00","NIE","www.bankmillennium.pl"
"MIL1227","BANK MILLENNIUM","PLN","GPW ASO, BS ASO","500 000,00",2023-06-08,164,2023-12-08,19,"zmienne","WIBOR 6M","2.3%","9.25","13 051,37",0,0,0,"2018-02-28","2018-02-28","2027-12-07","700 000 000,00","NIE","www.bankmillennium.pl"
"MIL1227","BANK MILLENNIUM","PLN","GPW ASO, BS ASO","500 000,00",2023-06-08,164,2023-12-08,19,"zmienne","WIBOR 6M","2.3%","9.25","13 051,37",2,2,900.35,"2018-02-28","2018-02-28","2027-12-07","700 000 000,00","NIE","www.bankmillennium.pl"
"MVP0227","MARVIPOL DEVELOPMENT","PLN","GPW RR","1 000,00",NA,NA,2024-02-04,77,"zmienne","WIBOR 6M","5.4%","12","15,12",198,21,2575.62,"2023-08-11","2023-08-11","2027-02-04","55 467 000,00","NIE","http://relacje.marvipoldevelopment.pl/"
"MVP0326","MARVIPOL DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-09-04,76,2024-03-04,106,"zmienne","WIBOR 6M","5.5%","11.99","4,93",31,13,229.71,"2023-06-05","2023-06-05","2026-03-02","66 000 000,00","NIE","http://relacje.marvipoldevelopment.pl/"
"MVP0524","MARVIPOL DEVELOPMENT","PLN","GPW ASO","850,00",2023-11-10,9,2024-05-10,173,"zmienne","WIBOR 6M","4.5%","11.45","35,20",17,5,75.39,"2021-02-03","2021-02-03","2024-05-10","31 848 000,00","NIE","http://relacje.marvipoldevelopment.pl/"
"MVP0526","MARVIPOL DEVELOPMENT","PLN","GPW RR","1 000,00",2023-11-08,11,2024-05-08,171,"zmienne","WIBOR 6M","5.5%","12.46","45,74",35,12,393.78,"2023-05-10","2023-05-10","2026-05-08","35 000 000,00","NIE","http://relacje.marvipoldevelopment.pl/"
"MVP0825","MARVIPOL DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-08-03,108,2024-02-03,76,"zmienne","WIBOR 6M","4.5%","11.12","14,32",78,21,705.67,"2022-02-10","2022-02-10","2025-08-03","70 000 000,00","NIE","http://relacje.marvipoldevelopment.pl/"
"MVP1024","MARVIPOL DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-10-21,29,2024-04-21,154,"zmienne","WIBOR 6M","4.5%","11.45","47,37",23,10,283.18,"2021-06-02","2021-06-02","2024-10-21","88 452 000,00","NIE","http://relacje.marvipoldevelopment.pl/"
"NOD1224","NOVDOM","PLN","GPW ASO","1 000,00",2023-09-02,78,2023-12-02,13,"zmienne","WIBOR 3M","4.85%","11.52","5,37",0,0,0,"2022-05-25","2022-05-25","2024-12-02","20 000 000,00","TAK","www.novdom.pl"
"NVA0624","PA NOVA","PLN","GPW ASO","670,00",2023-09-28,52,2023-12-28,39,"zmienne","WIBOR 3M","4.5%","11.4","17,37",5,4,46.54,"2022-01-10","2022-01-10","2024-06-28","20 100 000,00","NIE","www.pa-nova.com.pl"
"OBC0226","OLIVIA FIN","PLN","GPW ASO","1 000,00",2023-08-24,87,2023-11-24,5,"zmienne","WIBOR 3M","4.7%","11.39","8,11",4,3,49.72,"2023-06-09","2023-06-09","2026-02-24","10 000 000,00","TAK","http://ogobc.olivia.biz"
"OBC0525","OLIVIA FIN","PLN","GPW ASO","1 000,00",2023-11-15,4,2024-05-15,178,"zmienne","WIBOR 6M","5.3%","12.25","42,62",12,9,167.29,"2023-03-07","2023-03-07","2025-05-15","25 000 000,00","TAK","http://ogobc.olivia.biz"
"OBC1026","OLIVIA FIN","PLN","GPW ASO","1 000,00",2023-10-13,37,2024-01-13,55,"zmienne","WIBOR 3M","6%","12.9","24,03",12,9,49.68,"2023-04-24","2023-04-24","2026-10-13","11 500 000,00","TAK","http://ogobc.olivia.biz"
"OBC1126","OLIVIA FIN","PLN","GPW ASO","1 000,00",2023-09-22,58,2023-12-22,33,"zmienne","WIBOR 3M","6%","12.9","31,45",77,13,985.08,"2023-06-30","2023-06-30","2026-11-22","27 000 000,00","TAK","http://ogobc.olivia.biz"
"PBX0625","PEKABEX","PLN","GPW ASO","1 000,00",2023-06-11,161,2023-12-11,22,"zmienne","WIBOR 6M","2.65%","9.6","26,30",0,0,0,"2021-06-18","2021-06-18","2025-06-11","40 000 000,00","NIE","www.pekabex.pl"
"PCR0324","PCC ROKITA","PLN","GPW RR","100,00",2023-09-23,57,2023-12-23,34,"stałe","","5%","5",NA,23,10,130.85,"2018-04-10","2018-04-10","2024-03-23","25 000 000,00","NIE","www.pcc.rokita.pl; www.pccinwestor.pl"
"PCR0425","PCC ROKITA","PLN","GPW RR","100,00",2023-10-24,26,2024-01-24,66,"stałe","","5%","5","0,79",15,12,42.32,"2018-05-10","2018-05-10","2025-04-24","20 000 000,00","NIE","www.pcc.rokita.pl; www.pccinwestor.pl"
"PCR0426","PCC ROKITA","PLN","GPW RR","100,00",2023-10-29,21,2024-01-29,71,"stałe","","5%","5","0,73",16,10,30.67,"2019-05-21","2019-05-21","2026-04-29","22 000 000,00","NIE","www.pcc.rokita.pl; www.pccinwestor.pl"
"PCR0527","PCC ROKITA","PLN","GPW RR","100,00",2023-11-12,7,2024-02-12,85,"stałe","","5.5%","5.5","0,59",14,7,160.85,"2020-05-28","2020-05-28","2027-05-12","17 809 400,00","NIE","www.pcc.rokita.pl; www.pccinwestor.pl"
"PCR1023","PCC ROKITA","PLN","GPW ASO, BS ASO","100,00",2023-10-11,39,NA,NA,"stałe","","5%","5","0,97",15,11,39.84,"2017-10-30","2017-10-30","2023-10-11","25 000 000,00","NIE","www.pcc.rokita.pl; www.pccinwestor.pl"
"PCR1026","PCC ROKITA","PLN","GPW RR","100,00",2023-10-22,28,2024-01-22,64,"stałe","","5.5%","5.5","0,90",10,7,33.41,"2019-11-14","2019-11-14","2026-10-22","15 000 000,00","NIE","www.pcc.rokita.pl; www.pccinwestor.pl"
"PCR1223","PCC ROKITA","PLN","GPW RR","100,00",2023-09-20,60,2023-12-20,31,"stałe","","5%","5",NA,22,11,157.95,"2018-01-17","2018-01-17","2023-12-20","30 000 000,00","NIE","www.pcc.rokita.pl; www.pccinwestor.pl"
"PCX0925","PCC EXOL","PLN","GPW RR","100,00",2023-09-24,56,2023-12-24,35,"stałe","","5.5%","5.5",NA,25,12,52.3,"2020-07-09","2020-07-09","2025-09-24","25 000 000,00","NIE","www.pcc-exol.pl"
"PCX1124","PCC EXOL","PLN","GPW RR","100,00",2023-08-27,84,2023-11-27,8,"stałe","","5.5%","5.5","0,36",90,19,450.68,"2020-03-18","2020-03-18","2024-11-27","20 000 000,00","NIE","www.pcc-exol.pl"
"PEO0426","PEKAO","PLN","GPW ASO","500 000,00",2023-10-03,47,2024-04-03,136,"zmienne","WIBOR 6M","2.4%","9.36","21 669,04",0,0,0,"2023-04-14","2023-04-14","2026-04-03","750 000 000,00","NIE","www.pekao.com.pl"
"PEO0631","PEKAO","PLN","GPW ASO, BS ASO","500 000,00",2023-06-04,168,2023-12-04,15,"zmienne","WIBOR 6M","1.7%","8.65","12 678,77",0,0,0,"2019-07-15","2019-07-15","2031-06-04","750 000 000,00","NIE","www.pekao.com.pl"
"PEO0631","PEKAO","PLN","GPW ASO, BS ASO","500 000,00",2023-06-04,168,2023-12-04,15,"zmienne","WIBOR 6M","1.7%","8.65","12 678,77",4,2,4461.47,"2019-07-15","2019-07-15","2031-06-04","750 000 000,00","NIE","www.pekao.com.pl"
"PEO0725","PEKAO","PLN","GPW ASO","500 000,00",NA,NA,2024-01-28,70,"zmienne","WIBOR 6M","1.35%","8","5 808,22",0,0,0,"2023-08-03","2023-08-03","2025-07-28","750 000 000,00","NIE","www.pekao.com.pl"
"PEO0727","PEKAO","PLN","GPW ASO","500 000,00",NA,NA,2024-01-28,70,"stałe","","7.5%","7.5","5 445,21",0,0,0,"2023-08-03","2023-08-03","2027-07-28","350 000 000,00","NIE","www.pekao.com.pl"
"PEO1027","PEKAO","PLN","GPW ASO, BS ASO","1 000,00",2023-10-31,19,2024-04-30,163,"zmienne","WIBOR 6M","1.52%","8.47","32,95",0,0,0,"2017-12-12","2017-12-12","2027-10-29","1 250 000 000,00","NIE","www.pekao.com.pl"
"PEO1027","PEKAO","PLN","GPW ASO, BS ASO","1 000,00",2023-10-31,19,2024-04-30,163,"zmienne","WIBOR 6M","1.52%","8.47","32,95",237,20,11477.84,"2017-12-12","2017-12-12","2027-10-29","1 250 000 000,00","NIE","www.pekao.com.pl"
"PEO1028","PEKAO","PLN","GPW ASO, BS ASO","500 000,00",2023-10-15,35,2024-04-15,148,"zmienne","WIBOR 6M","1.55%","8.5","18 280,82",0,0,0,"2019-01-10","2019-01-10","2028-10-16","550 000 000,00","NIE","www.pekao.com.pl"
"PEO1028","PEKAO","PLN","GPW ASO, BS ASO","500 000,00",2023-10-15,35,2024-04-15,148,"zmienne","WIBOR 6M","1.55%","8.5","18 280,82",2,2,1001.91,"2019-01-10","2019-01-10","2028-10-16","550 000 000,00","NIE","www.pekao.com.pl"
"PEO1033","PEKAO","PLN","GPW ASO, BS ASO","500 000,00",2023-10-15,35,2024-04-15,148,"zmienne","WIBOR 6M","1.8%","8.75","18 818,49",0,0,0,"2019-01-10","2019-01-10","2033-10-14","200 000 000,00","NIE","www.pekao.com.pl"
"PEO1033","PEKAO","PLN","GPW ASO, BS ASO","500 000,00",2023-10-15,35,2024-04-15,148,"zmienne","WIBOR 6M","1.8%","8.75","18 818,49",0,0,0,"2019-01-10","2019-01-10","2033-10-14","200 000 000,00","NIE","www.pekao.com.pl"
"PGE0526","PGE","PLN","GPW ASO, BS ASO","1 000,00",2023-05-21,182,2023-11-21,2,"zmienne","WIBOR 6M","1.2%","8.15","27,02",0,0,0,"2019-08-21","2019-08-21","2026-05-21","400 000 000,00","NIE","www.gkpge.pl"
"PGE0526","PGE","PLN","GPW ASO, BS ASO","1 000,00",2023-05-21,182,2023-11-21,2,"zmienne","WIBOR 6M","1.2%","8.15","27,02",4,3,41.45,"2019-08-21","2019-08-21","2026-05-21","400 000 000,00","NIE","www.gkpge.pl"
