"Ticker","Nazwa emitenta","Waluta","Rynek","Wartosc nominalna","Data poprzedniej wypłaty","Dni od poprzedniej wypłaty","Data nastepnej wypłaty","Dni do następnej wypłaty","Rodzaj oprocentowania obligacji","WIBOR","Oprocentowanie","Oprocentowanie w bieżącym okresie odsetkowym (%)","Odsetki skumulowane","Liczba transakcji wrzesień 2023","Liczba dni z transakcjami wrzesień 2023","Obroty [tys.] wrzesień 2023","Data autoryzacji","Data pierwszego notowania","Data wykupu","Wartosc emisji","Zabezpieczenie","Strona www emitenta"
"ARH0324","ARCHICOM","PLN","GPW ASO","1 000,00",2023-09-18,62,2023-12-18,29,"zmienne","WIBOR 3M","3.2%","10.1","0,25",0,0,0,"2022-08-11","2022-08-11","2024-03-15","110 000 000,00","NIE","www.archicom.pl"
"ARH0325","ARCHICOM","PLN","GPW ASO","1 000,00",2023-09-18,62,2023-12-18,29,"zmienne","WIBOR 3M","3.5%","10.4","0,26",0,0,0,"2023-06-09","2023-06-09","2025-03-17","62 000 000,00","NIE","www.archicom.pl"
"ATL0524","ATAL","PLN","GPW ASO","1 000,00",2023-11-15,4,2024-05-15,178,"zmienne","WIBOR 6M","1.65%","8.6","30,87",0,0,0,"2023-05-22","2023-05-22","2024-05-15","70 000 000,00","NIE","www.atal.pl"
"ATL0525","ATAL","PLN","GPW ASO","1 000,00",2023-11-15,4,2024-05-15,178,"zmienne","WIBOR 6M","2%","8.95","32,12",0,0,0,"2023-05-22","2023-05-22","2025-05-15","80 000 000,00","NIE","www.atal.pl"
"ATL1023","ATAL","PLN","GPW ASO","1 000,00",2023-10-05,45,NA,NA,"zmienne","WIBOR 6M","1.75%","8.7","39,81",0,0,0,"2021-10-14","2021-10-14","2023-10-05","120 000 000,00","NIE","www.atal.pl"
"BBI0225","BBI DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-08-22,89,2024-02-22,95,"zmienne","WIBOR 6M","7.75%","14.29","10,96",10,6,35.24,"2023-04-11","2023-04-11","2025-02-24","37 000 000,00","NIE","www.bbidevelopment.pl"
"BOS0724","BOŚ SA","PLN","BS ASO","1 000,00",2023-07-11,131,2024-01-11,53,"zmienne","WIBOR 6M","2.3%","9.22","17,68",0,0,0,"2014-08-08","2014-08-08","2024-07-11","150 000 000,00","NIE","www.bosbank.pl"
"BPO0626","BANK POCZTOWY","PLN","GPW ASO","100,00",2023-06-08,164,2023-12-08,19,"zmienne","WIBOR 6M","2.8%","9.75","2,75",51,12,269.46,"2016-09-08","2016-09-08","2026-06-08","50 000 000,00","NIE","www.pocztowy.pl"
"BS10327","BEST","PLN","GPW RR","100,00",2023-09-14,66,2023-12-14,25,"zmienne","WIBOR 3M","4.5%","11.1","0,15",85,19,531.87,"2023-04-04","2023-04-04","2027-03-14","11 226 000,00","NIE","www.best.com.pl"
"BST0128","BEST","PLN","GPW RR","100,00",2023-10-25,25,2024-01-25,67,"zmienne","WIBOR 3M","5%","11.81","1,81",139,20,1317.48,"2023-08-11","2023-08-11","2028-01-25","20 000 000,00","NIE","www.best.com.pl"
"BST0224","BEST","PLN","GPW ASO","100,00",2023-11-15,4,2024-02-15,88,"zmienne","WIBOR 3M","3.75%","10.45","1,00",0,0,0,"2021-08-04","2021-08-04","2024-02-15","20 000 000,00","NIE","www.best.com.pl"
"BST0226","BEST","PLN","GPW ASO","100,00",2023-11-17,2,2024-02-17,90,"zmienne","WIBOR 3M","3.85%","10.55","0,95",0,0,0,"2022-08-05","2022-08-05","2026-02-17","10 000 000,00","NIE","www.best.com.pl"
"BST0228","BEST","PLN","GPW RR","100,00",NA,NA,2023-11-25,6,"zmienne","WIBOR 3M","5%","11.68","0,80",268,11,1958.7,"2023-09-15","2023-09-15","2028-02-25","30 000 000,00","NIE","www.best.com.pl"
"BST0327","BEST","PLN","GPW RR","100,00",2023-09-07,73,2023-12-07,18,"zmienne","WIBOR 3M","4%","10.67","0,35",13,10,50.5,"2022-03-24","2022-03-24","2027-03-07","10 508 500,00","NIE","www.best.com.pl"
"BST0726","BEST","PLN","GPW ASO","100,00",2023-10-23,27,2024-01-23,65,"stałe","","4.4%","4.4","0,70",17,9,68.31,"2021-08-12","2021-08-12","2026-07-23","10 667 700,00","NIE","www.best.com.pl"
"BST1026","BEST","PLN","GPW RR","100,00",2023-10-08,42,2024-01-08,50,"zmienne","WIBOR 3M","4.2%","11.1","2,22",12,9,111.29,"2021-11-02","2021-11-02","2026-10-08","10 000 000,00","NIE","www.best.com.pl"
"BST1226","BEST","PLN","GPW RR","100,00",2023-09-20,60,2023-12-20,31,"zmienne","WIBOR 3M","4.5%","11.4",NA,86,17,369.63,"2023-01-05","2023-01-05","2026-12-20","13 528 700,00","NIE","www.best.com.pl"
"CA11225","CAVATINA HOLDING","PLN","GPW RR","1 000,00",2023-06-30,142,2023-12-30,41,"zmienne","WIBOR 6M","6%","12.95","28,74",27,11,275.17,"2022-07-25","2022-07-25","2025-12-30","20 000 000,00","TAK","www.cavatina.pl"
"CAV0526","CAVATINA HOLDING","PLN","GPW RR","1 000,00",2023-11-17,2,2024-05-17,180,"zmienne","WIBOR 6M","6%","12.95","44,35",19,7,195.18,"2022-11-22","2022-11-22","2026-05-17","16 738 000,00","TAK","www.cavatina.pl"
"CAV0925","CAVATINA HOLDING","PLN","GPW RR","1 000,00",2023-09-08,72,2024-03-08,110,"zmienne","WIBOR 6M","6%","12.45","3,75",96,21,753.86,"2022-03-11","2022-03-11","2025-09-08","40 695 000,00","TAK","www.cavatina.pl"
"CAV1225","CAVATINA HOLDING","PLN","GPW RR","1 000,00",2023-06-30,142,2023-12-30,41,"zmienne","WIBOR 6M","6%","12.95","28,74",46,15,351.66,"2022-07-05","2022-07-05","2025-12-30","40 000 000,00","TAK","www.cavatina.pl"
"CAV1226","CAVATINA HOLDING","PLN","GPW RR","1 000,00",NA,NA,2023-12-05,16,"zmienne","WIBOR 6M","6%","12.95","37,61",73,19,743.4,"2023-06-14","2023-06-14","2026-12-05","25 000 000,00","TAK","www.cavatina.pl"
"CVH0624","CAVATINA HOLDING","PLN","GPW ASO","1 000,00",2023-06-21,151,2023-12-21,32,"zmienne","WIBOR 6M","6.5%","13.45","33,16",37,13,324.38,"2021-01-08","2021-01-08","2024-06-21","20 000 000,00","TAK","www.cavatina.pl"
"CVH1224","CAVATINA HOLDING","PLN","GPW ASO","1 000,00",2023-06-22,150,2023-12-22,33,"zmienne","WIBOR 6M","6.5%","13.45","32,80",38,14,291.43,"2021-06-29","2021-06-29","2024-12-22","20 500 000,00","TAK","www.cavatina.pl"
"CCC0626","CCC","PLN","GPW ASO, BS ASO","1 000,00",2023-06-29,143,2023-12-29,40,"zmienne","WIBOR 6M","4.5%","11.45","25,72",0,0,0,"2018-12-28","2018-12-28","2026-06-29","200 765 000,00","TAK","www.ccc.eu"
"CCC0626","CCC","PLN","GPW ASO, BS ASO","1 000,00",2023-06-29,143,2023-12-29,40,"zmienne","WIBOR 6M","4.5%","11.45","25,72",212,21,2340.03,"2018-12-28","2018-12-28","2026-06-29","200 765 000,00","TAK","www.ccc.eu"
"CPF0724","CORDIA POLSKA FINANCE","PLN","GPW ASO","1 000,00",2023-07-13,129,2024-01-13,55,"zmienne","WIBOR 6M","4.25%","11.17","20,81",21,12,316.31,"2021-07-29","2021-07-29","2024-07-15","68 797 000,00","TAK","www.cordiapolska.pl/"
"CPS0130","CYFROWY POLSAT","PLN","GPW ASO","1 000,00",2023-07-11,131,2024-01-11,53,"zmienne","WIBOR 6M","3.35%","10.27","19,70",62,20,1521.26,"2023-01-20","2023-01-20","2030-01-11","2 670 000 000,00","NIE","www.grupapolsat.pl"
"CPS0227","CYFROWY POLSAT","PLN","GPW ASO","1 000,00",2023-08-14,97,2024-02-14,87,"zmienne","WIBOR 6M","1.65%","8.22","8,11",32,7,4252.19,"2020-02-24","2020-02-24","2027-02-12","164 009 000,00","NIE","www.grupapolsat.pl"
"CPS0426","CYFROWY POLSAT","PLN","GPW ASO","1 000,00",2023-10-26,24,2024-04-26,159,"zmienne","WIBOR 6M","1.75%","8.7","34,80",39,15,339.07,"2019-05-31","2019-05-31","2026-04-24","308 048 000,00","NIE","www.grupapolsat.pl"
"CSA0726","COGNOR","PLN","GPW ASO","600,00",2023-07-15,127,2024-01-15,57,"zmienne","WIBOR 6M","3.4%","9.7","10,52",7,5,45.94,"2021-07-29","2021-07-29","2026-07-15","120 000 000,00","NIE","www.cognor.pl"
"DDW0824","DEKPOL DEWELOPER","PLN","GPW ASO","1 000,00",2023-08-01,110,2024-02-01,74,"zmienne","WIBOR 6M","5.3%","11.94","16,03",2,2,11.2,"2023-09-14","2023-09-14","2024-08-01","10 000 000,00","TAK","https://dekpol.pl/mieszkania/"
"DEK0624","DEKPOL","PLN","GPW ASO","1 000,00",2023-06-22,150,2023-12-22,33,"zmienne","WIBOR 6M","5.4%","12.35","30,11",15,7,114.26,"2021-03-23","2021-03-23","2024-06-22","11 000 000,00","NIE","www.dekpol.pl"
